cntry,Country_Name,Country_Highlight,Age_Group,Political_Spectrum,Avg_Immigration,n,Intensidad
ME,Montenegro,Resto de Europa,Gen Z (<27),Centro (4-6),4.55439319846261,35,Negativo
ME,Montenegro,Resto de Europa,Gen Z (<27),Derecha (7-10),3.549548789384328,8,Muy negativo
ME,Montenegro,Resto de Europa,Millennials (27-42),Izquierda (0-3),4.770540060329979,129,Negativo
ME,Montenegro,Resto de Europa,Millennials (27-42),Centro (4-6),4.740661577301623,155,Negativo
ME,Montenegro,Resto de Europa,Millennials (27-42),Derecha (7-10),5.3899419905141315,69,Neutral
ME,Montenegro,Resto de Europa,Gen X (43-58),Izquierda (0-3),4.606756388875262,145,Negativo
ME,Montenegro,Resto de Europa,Gen X (43-58),Centro (4-6),4.83815650328822,232,Negativo
ME,Montenegro,Resto de Europa,Gen X (43-58),Derecha (7-10),4.402586421072518,69,Negativo
ME,Montenegro,Resto de Europa,Boomers+ (59+),Izquierda (0-3),4.524958255998137,139,Negativo
ME,Montenegro,Resto de Europa,Boomers+ (59+),Centro (4-6),4.686734749563164,217,Negativo
ME,Montenegro,Resto de Europa,Boomers+ (59+),Derecha (7-10),5.385191556559216,88,Neutral
NL,Países Bajos,Resto de Europa,Gen Z (<27),Izquierda (0-3),6.5230307151744,59,Positivo
NL,Países Bajos,Resto de Europa,Gen Z (<27),Centro (4-6),6.1921100436348935,100,Positivo
NL,Países Bajos,Resto de Europa,Gen Z (<27),Derecha (7-10),5.2358521640157845,51,Neutral
NL,Países Bajos,Resto de Europa,Millennials (27-42),Izquierda (0-3),6.607630015540713,98,Positivo
NL,Países Bajos,Resto de Europa,Millennials (27-42),Centro (4-6),5.999053857178859,179,Neutral
NL,Países Bajos,Resto de Europa,Millennials (27-42),Derecha (7-10),5.0614435207815,72,Neutral
NL,Países Bajos,Resto de Europa,Gen X (43-58),Izquierda (0-3),6.470694044316412,79,Positivo
NL,Países Bajos,Resto de Europa,Gen X (43-58),Centro (4-6),5.813821088668585,221,Neutral
NL,Países Bajos,Resto de Europa,Gen X (43-58),Derecha (7-10),5.207091194483288,116,Neutral
